episode,return
1,-360.91683753716023
2,-325.8571808878519
3,-352.2174632227521
4,-426.8586430677198
5,-406.5450155606622
6,-305.8516706949328
7,-592.1607375889172
8,-323.5630175047507
9,-497.73608379040706
10,-479.9221929946211
11,-332.31589387930137
12,-371.2505445597577
13,-420.1817492468129
14,-292.4829262255661
15,-669.27157720283
16,-443.2860486784
17,-447.48010675211185
18,-402.5161416022584
19,-370.2581745416887
20,-354.58548665515326
21,-535.4363092162406
22,-479.56845513038195
23,-389.6971088416623
24,-562.1907272128585
25,-334.40568910169515
26,-492.6459977966985
27,-320.6363647658821
28,-299.16907688806884
29,-461.44828216614854
30,-379.3184884017028
31,-442.1598086924655
32,-498.38068227005874
33,-156.0698379276382
34,-441.7968337093879
35,-410.84843377376893
36,-591.3387309772614
37,-599.0848847249491
38,-350.2774616424848
39,-436.88833477110063
40,-482.87830975303723
41,-287.3536998198607
42,-340.7105674017776
43,-322.33001234506446
44,-445.518509741067
45,-615.0378928963215
46,-349.2539641797913
47,-357.29490177689706
48,-404.2069756024748
49,-312.66847641207585
50,-544.3907366574524
51,-555.0419155974013
52,-502.7327267165866
53,-505.2401911197402
54,-464.2237597783739
55,-649.8975470343167
56,-611.0230767992161
57,-374.0681574172566
58,-506.21344868325474
59,-397.2979020167402
60,-385.36921883671977
61,-480.49804326643874
62,-380.8616550397324
63,-452.309240611052
64,-302.8164917811831
65,-649.3767783275866
66,-536.4585391925308
67,-348.2886966831294
68,-376.6236997340973
69,-540.1558604507254
70,-549.834691945435
71,-403.05851621907476
72,-535.7648386413996
73,-500.6581405170398
74,-355.522939620029
75,-674.0664353073622
76,-616.930158484896
77,-623.6580997000158
78,-385.9957239139207
79,-548.5459279446558
80,-573.4554467914445
81,-507.92428547181265
82,-464.9495959567875
83,-513.4378763948215
84,-570.7517512936556
85,-595.1624774887212
86,-439.8855434874942
87,-483.1502359512065
88,-598.178151549275
89,-591.8856937325515
90,-475.7773376344421
91,-518.0019720737529
92,-516.1354180139273
93,-422.6185778753057
94,-497.8439686079015
95,-634.9841763681094
96,-535.6192133087028
97,-726.8096532455133
98,-571.458935154242
99,-461.20175421682774
100,-463.37645931457
101,-589.8472585366117
102,-641.7397233353221
103,-512.0601776940068
104,-499.18876438140205
105,-428.77197033101464
106,-479.87068916052584
107,-441.0616945649431
108,-612.0197346822771
109,-457.3168168002409
110,-545.4432537198358
111,-482.704358471884
112,-478.5057643967878
113,-486.25235485043777
114,-569.9481928636962
115,-425.8285043678954
116,-724.7298283171497
117,-693.0377319979873
118,-629.1675655950717
119,-496.4159323353909
120,-382.3455670832688
121,-609.4407709618735
122,-319.19683358246317
123,-287.42612930584687
124,-604.3032910169554
125,-579.0639322206183
126,-638.7771492532763
127,-566.7807544545183
128,-723.7218474556137
129,-525.0762722239889
130,-667.480025324291
131,-493.96679937129596
132,-515.9889967225415
133,-542.3720867013922
134,-612.1784944728663
135,-687.1214954055405
136,-628.2214664538227
137,-546.4784537378891
138,-591.779744335887
139,-477.1102538049538
140,-580.3110158011671
141,-569.3840379410137
142,-584.8629739116664
143,-634.539167703173
144,-361.43001001810546
145,-490.45984224887866
146,-407.6443951319225
147,-579.2798185062339
148,-540.6443563501692
149,-537.7350753854591
150,-452.00813218834634
151,-487.82540445652
152,-506.6154915851419
153,-527.7239925711896
154,-510.44180128717437
155,-580.2854273107429
156,-634.8578085467267
157,-449.09734557263045
158,-544.3395438543797
159,-738.1392398619861
160,-850.3807070146612
161,-578.1069827929286
162,-553.3017211240268
163,-712.9310452432348
164,-517.6831092803288
165,-479.81036627239126
166,-400.48577769694714
167,-465.77254531327367
168,-546.7443374745563
169,-682.7845109488115
170,-493.9250334326031
171,-477.12284279300627
172,-286.3827119382901
173,-569.1064944905213
174,-404.71325095151786
175,-555.1971324324031
176,-589.2949969483603
177,-461.1886214615806
178,-442.8020194442027
179,-427.59035105126
180,-614.8498011675055
181,-593.5664848343226
182,-391.34270715913306
183,-482.05258304245064
184,-564.4805031202277
185,-296.10902122588016
186,-639.0036111935117
187,-622.4188011819919
188,-545.47018563549
189,-492.9804475994264
190,-558.7839222395353
191,-358.15644497632394
192,-598.6067346222653
193,-502.38592274708975
194,-833.0853930399793
195,-515.2177863977998
196,-560.9357027877554
197,-506.75484735369537
198,-590.6314067552559
199,-650.6665974875618
200,-486.6865299693592
201,-339.6408559312879
202,-756.7670813556879
203,-618.1029826849024
204,-611.7011514928391
205,-573.7286658477971
206,-645.1485490019694
207,-645.5410343794273
208,-333.15176315948645
209,-406.8218749534004
210,-519.8828994917396
